City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,bethel,41.3712,-73.414,3.2,85,100,0.0,US,1675826537
1,rikitea,-23.1203,-134.9692,26.58,69,37,4.04,PF,1675826711
2,esperance,-33.8667,121.9,22.01,64,78,5.21,AU,1675826711
3,taurianova,38.3563,16.0109,5.77,71,32,1.65,IT,1675826712
4,port macquarie,-31.4333,152.9167,25.08,59,73,3.52,AU,1675826712
5,saskylakh,71.9167,114.0833,-34.18,100,100,0.05,RU,1675826713
6,padang,-0.9492,100.3543,28.03,56,86,1.13,ID,1675826713
7,ushuaia,-54.8,-68.3,9.81,76,20,5.14,AR,1675826714
8,daru,-9.0763,143.2092,29.58,70,99,4.65,PG,1675826715
9,palm city,27.1678,-80.2662,22.25,67,40,5.14,US,1675826418
10,avera,33.194,-82.5271,9.1,59,66,1.81,US,1675826715
11,hermanus,-34.4187,19.2345,18.78,83,0,5.33,ZA,1675826433
12,busselton,-33.65,115.3333,26.1,44,0,0.72,AU,1675826451
13,san rafael,-34.6177,-68.3301,22.32,54,25,7.4,AR,1675826716
14,suntar,62.1444,117.6319,-30.37,95,100,1.05,RU,1675826717
15,ugoofaaru,5.6667,73.0,26.97,67,15,2.8,MV,1675826717
16,redmond,47.674,-122.1215,8.21,82,31,1.34,US,1675826702
17,katsuura,35.1333,140.3,10.1,69,99,8.33,JP,1675826718
18,salalah,17.0151,54.0924,20.05,56,0,2.06,OM,1675826719
19,punta arenas,-53.15,-70.9167,12.06,76,0,1.54,CL,1675826564
20,inuvik,68.3499,-133.7218,-29.52,69,100,1.54,CA,1675826720
21,chokurdakh,70.6333,147.9167,-37.68,99,100,1.54,RU,1675826720
22,vaini,-21.2,-175.2,29.09,79,40,2.57,TO,1675826721
23,port alfred,-33.5906,26.891,20.1,92,100,1.34,ZA,1675826721
24,bluff,-46.6,168.3333,11.56,64,49,12.07,NZ,1675826433
25,east london,-33.0153,27.9116,21.48,83,100,4.59,ZA,1675826301
26,boguchany,58.3814,97.4531,-10.47,95,100,1.4,RU,1675826722
27,safford,32.834,-109.7076,10.62,44,0,5.14,US,1675826723
28,gat,31.61,34.7642,10.05,100,46,7.77,IL,1675826723
29,saint-pierre,-21.3393,55.4781,26.82,74,0,5.14,RE,1675826724
30,leiva,1.9339,-77.3025,17.15,96,80,1.08,CO,1675826724
31,yellowknife,62.456,-114.3525,-19.69,84,100,3.09,CA,1675826725
32,new norfolk,-42.7826,147.0587,16.07,32,5,2.03,AU,1675826726
33,hobart,-42.8794,147.3294,16.26,68,75,6.17,AU,1675826726
34,shache,38.4167,77.2406,-1.43,62,0,1.86,CN,1675826727
35,nikolskoye,59.7035,30.7861,-2.06,86,100,4.49,RU,1675826727
36,balabac,7.9868,117.0645,27.37,75,100,6.02,PH,1675826648
37,cabo san lucas,22.8909,-109.9124,20.84,59,75,0.0,MX,1675826728
38,mirnyy,62.5353,113.9611,-29.14,95,100,1.03,RU,1675826728
39,hobyo,5.3505,48.5268,25.08,68,97,6.52,SO,1675826429
40,mataura,-46.1927,168.8643,11.38,51,64,5.22,NZ,1675826729
41,port hedland,-20.3167,118.5667,35.03,49,14,5.14,AU,1675826729
42,saldanha,-33.0117,17.9442,18.03,89,0,5.27,ZA,1675826730
43,svay rieng,11.0879,105.7993,28.75,59,46,2.02,KH,1675826730
44,kapaa,22.0752,-159.319,25.99,85,75,7.2,US,1675826731
45,sao jose da coroa grande,-8.8978,-35.1478,24.75,73,100,2.41,BR,1675826731
46,vung tau,10.346,107.0843,27.33,72,19,5.77,VN,1675826732
47,sungurlu,40.1675,34.3739,-10.91,84,42,0.4,TR,1675826732
48,venezuela,8.0,-66.0,26.85,61,79,7.03,VE,1675826733
49,nanakuli,21.3906,-158.1547,26.97,58,75,5.66,US,1675826733
50,boa vista,2.8197,-60.6733,26.99,69,40,5.66,BR,1675826734
51,kimbe,-5.5502,150.1429,25.65,94,100,2.28,PG,1675826734
52,pangnirtung,66.1451,-65.7125,-33.99,84,5,2.34,CA,1675826734
53,coihaique,-45.5752,-72.0662,16.34,72,75,1.54,CL,1675826735
54,albany,42.6001,-73.9662,2.35,77,97,0.89,US,1675826721
55,faanui,-16.4833,-151.75,27.26,72,24,5.47,PF,1675826736
56,del rio,29.3627,-100.8968,14.06,66,100,9.26,US,1675826736
57,castro,-24.7911,-50.0119,16.39,95,71,2.35,BR,1675826736
58,hasaki,35.7333,140.8333,11.22,67,100,9.22,JP,1675826737
59,thompson,55.7435,-97.8558,-15.91,85,100,1.54,CA,1675826592
60,tome,-36.6167,-72.95,16.34,71,0,1.6,CL,1675826737
61,bogorodskoye,56.55,37.8833,-11.96,94,86,3.62,RU,1675826738
62,vao,-22.6667,167.4833,26.82,70,34,6.09,NC,1675826738
63,ciumeghiu,46.7333,21.5833,-2.71,90,93,2.52,RO,1675826739
64,svobodnyy,51.4,128.1333,-22.06,83,23,1.3,RU,1675826740
65,eureka,40.8021,-124.1637,10.93,86,99,0.45,US,1675826740
66,kyzyl-suu,42.3414,78.0056,-5.53,53,25,4.54,KG,1675826741
67,smithers,54.7804,-127.1743,-2.82,93,75,3.09,CA,1675826742
68,matagami,49.7502,-77.6328,-9.94,79,100,11.32,CA,1675826742
69,faya,18.3851,42.4509,9.06,57,3,1.33,SA,1675826743
70,atuona,-9.8,-139.0333,26.2,75,24,7.46,PF,1675826743
71,rawson,-43.3002,-65.1023,18.45,60,2,2.14,AR,1675826470
72,shimoda,34.6667,138.95,11.2,76,60,3.62,JP,1675826744
73,tuktoyaktuk,69.4541,-133.0374,-31.0,76,100,1.54,CA,1675826744
74,flinders,-34.5833,150.8552,21.77,90,100,0.89,AU,1675826744
75,asekeyevo,53.5742,52.7972,-24.66,100,67,1.47,RU,1675826745
76,millinocket,45.6573,-68.7098,-3.94,80,100,2.06,US,1675826745
77,khatanga,71.9667,102.5,-44.17,100,63,1.31,RU,1675826746
78,avarua,-21.2078,-159.775,29.03,74,34,4.63,CK,1675826746
79,kavieng,-2.5744,150.7967,27.77,77,100,3.94,PG,1675826447
80,trat,12.5,102.5,30.11,69,96,0.24,TH,1675826747
81,tigre,-34.426,-58.5796,27.92,65,0,0.89,AR,1675826119
82,port elizabeth,-33.918,25.5701,19.62,90,0,3.6,ZA,1675826748
83,kindu,-2.95,25.95,21.05,95,95,1.14,CD,1675826748
84,husavik,66.0449,-17.3389,-4.81,72,91,6.6,IS,1675826749
85,ilulissat,69.2167,-51.1,-26.99,76,40,3.09,GL,1675826749
86,mogadishu,2.0371,45.3438,24.33,85,14,6.8,SO,1675826750
87,saint-francois,46.4154,3.9054,-6.31,93,1,1.54,FR,1675826750
88,hambantota,6.1241,81.1185,28.19,83,20,5.66,LK,1675826751
89,upernavik,72.7868,-56.1549,-30.39,95,47,1.81,GL,1675826636
90,hereford,52.0568,-2.7148,2.57,92,0,0.45,GB,1675826538
91,manzil salim,35.8567,8.4765,4.26,91,44,1.75,TN,1675826752
92,ponta do sol,32.6667,-17.1,15.35,62,37,3.72,PT,1675826752
93,vila velha,-20.3297,-40.2925,24.97,90,40,1.03,BR,1675826753
94,novo aripuana,-5.1206,-60.3797,22.83,98,100,0.73,BR,1675826753
95,tiksi,71.6872,128.8694,-36.76,99,99,2.68,RU,1675826754
96,saint-georges,12.0564,-61.7485,24.82,83,75,4.63,GD,1675826755
97,conselheiro lafaiete,-20.6603,-43.7861,17.87,94,100,0.36,BR,1675826755
98,barcelos,41.5388,-8.6151,10.08,68,92,5.78,PT,1675826756
99,westport,41.1415,-73.3579,5.31,86,100,1.54,US,1675826732
100,dikson,73.5069,80.5464,-21.26,91,100,10.16,RU,1675826756
101,baghdad,33.3406,44.4009,7.95,66,0,3.09,IQ,1675826325
102,kahului,20.8947,-156.47,25.01,77,40,9.77,US,1675826757
103,jamestown,42.097,-79.2353,3.34,95,100,6.17,US,1675826757
104,qaanaaq,77.484,-69.3632,-31.9,67,6,2.74,GL,1675826758
105,southern pines,35.174,-79.3923,10.74,73,0,2.57,US,1675826758
106,torbay,47.6666,-52.7314,-3.12,87,75,10.8,CA,1675826759
107,pasighat,28.0667,95.3333,18.47,60,100,0.45,IN,1675826760
108,barrow,71.2906,-156.7887,-18.99,78,100,3.09,US,1675826760
109,chastyye,57.2888,54.9728,-21.86,100,100,1.98,RU,1675826761
110,bredasdorp,-34.5322,20.0403,18.25,81,7,2.93,ZA,1675826761
111,yar-sale,66.8333,70.8333,-14.27,83,100,9.74,RU,1675826762
112,quatre cocos,-20.2078,57.7625,26.06,80,38,6.88,MU,1675826762
113,tanete,-3.9443,119.7848,31.1,57,96,3.79,ID,1675826763
114,nara,34.6851,135.8049,11.62,54,43,4.4,JP,1675826764
115,mexico,15.0646,120.7198,31.84,52,99,6.03,PH,1675826764
116,goba,7.0167,39.9833,7.85,43,5,1.63,ET,1675826765
117,nelson bay,-32.7167,152.15,29.03,69,49,7.6,AU,1675826766
118,mango,27.9797,-82.3065,21.68,71,0,2.24,US,1675826766
119,san carlos de bariloche,-41.1456,-71.3082,16.86,59,0,3.09,AR,1675826499
120,bathurst,-33.4166,149.5806,28.24,46,83,2.68,AU,1675826767
121,butaritari,3.0707,172.7902,27.25,81,100,9.66,KI,1675826768
122,mugumu,-1.85,34.7,15.0,92,97,1.54,TZ,1675826768
123,dingle,10.9995,122.6711,27.57,72,100,7.31,PH,1675826559
124,saint george,37.1041,-113.5841,8.33,47,0,0.45,US,1675826521
125,isangel,-19.55,169.2667,27.6,77,93,1.47,VU,1675826770
126,el cope,8.6167,-80.6,19.45,92,81,4.22,PA,1675826771
127,bambous virieux,-20.3428,57.7575,26.14,83,40,5.14,MU,1675826492
128,verkhnyaya inta,65.9811,60.3094,-9.71,92,100,11.9,RU,1675826772
129,cape town,-33.9258,18.4232,21.06,75,20,5.81,ZA,1675826348
130,lata,40.1629,-8.3327,8.37,82,31,2.44,PT,1675826772
131,vangaindrano,-23.35,47.6,22.39,90,100,0.84,MG,1675826773
132,la tuque,47.4334,-72.7824,-3.86,86,100,2.06,CA,1675826774
133,inta,66.0317,60.1659,-10.06,93,100,12.58,RU,1675826774
134,tuatapere,-46.1333,167.6833,13.78,56,58,7.24,NZ,1675826617
135,bonavista,48.6499,-53.1147,-3.84,69,92,9.85,CA,1675826775
136,narsaq,60.9167,-46.05,-24.88,65,3,3.94,GL,1675826776
137,nagapattinam,10.7667,79.8333,25.23,74,93,3.42,IN,1675826777
138,cidreira,-30.1811,-50.2056,24.09,81,10,6.41,BR,1675826499
139,regente feijo,-22.2214,-51.3028,22.6,88,0,1.54,BR,1675826778
140,ribeira grande,38.5167,-28.7,13.21,66,27,2.68,PT,1675826778
141,kavaratti,10.5669,72.642,26.6,71,93,5.48,IN,1675826507
142,dubbo,-32.25,148.6167,33.07,35,40,4.12,AU,1675826779
143,kirensk,57.7853,108.1119,-17.32,96,100,1.52,RU,1675826780
144,chuy,-33.6971,-53.4616,20.81,82,18,3.02,UY,1675826781
145,puerto ayora,-0.7393,-90.3518,26.42,92,55,2.24,EC,1675826782
146,mar del plata,-38.0023,-57.5575,23.38,94,0,8.94,AR,1675826185
147,severo-kurilsk,50.6789,156.125,-3.94,55,15,4.28,RU,1675826639
148,labuhan,-6.8844,112.2051,25.55,86,100,3.14,ID,1675826783
149,mul,20.0667,79.6667,22.8,31,1,2.56,IN,1675826783
150,kodiak,57.79,-152.4072,-4.27,54,0,4.63,US,1675826784
